Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2012,MISSISSIPPI,"ROMNEY, MITT",REPUBLICAN,710746,1285584,All industry total ,100905.4
2012,MISSOURI,"ROMNEY, MITT",REPUBLICAN,1482440,2757323,All industry total ,272482.4
2012,MONTANA,"ROMNEY, MITT",REPUBLICAN,267928,484048,All industry total ,42150.2
2012,NEBRASKA,"ROMNEY, MITT",REPUBLICAN,475064,794379,All industry total ,102949.7
2012,NEVADA,"OBAMA, BARACK H.",DEMOCRAT,531373,1014918,All industry total ,130238.2
2012,NEW HAMPSHIRE,"OBAMA, BARACK H.",DEMOCRAT,369561,710972,All industry total ,68412.0
2012,NEW JERSEY,"OBAMA, BARACK H.",DEMOCRAT,2122786,3638499,All industry total ,516098.2
2012,NEW MEXICO,"OBAMA, BARACK H.",DEMOCRAT,415335,783758,All industry total ,87681.0
2012,NEW YORK,"OBAMA, BARACK H.",DEMOCRAT,4324228,7116784,All industry total ,1324471.3
2012,NORTH CAROLINA,"ROMNEY, MITT",REPUBLICAN,2270395,4505372,All industry total ,444063.2
2012,NORTH DAKOTA,"ROMNEY, MITT",REPUBLICAN,188320,322932,All industry total ,52079.1
2012,OHIO,"OBAMA, BARACK H.",DEMOCRAT,2827621,5580822,All industry total ,543035.4
2012,OKLAHOMA,"ROMNEY, MITT",REPUBLICAN,891325,1334872,All industry total ,175361.2
2012,OREGON,"OBAMA, BARACK H.",DEMOCRAT,970488,1789270,All industry total ,173856.8
2012,PENNSYLVANIA,"OBAMA, BARACK H.",DEMOCRAT,2990274,5742040,All industry total ,646434.3
2012,RHODE ISLAND,"OBAMA, BARACK H.",DEMOCRAT,279677,446049,All industry total ,51527.5
2012,SOUTH CAROLINA,"ROMNEY, MITT",REPUBLICAN,1071645,1964118,All industry total ,178503.9
2012,SOUTH DAKOTA,"ROMNEY, MITT",REPUBLICAN,210610,363815,All industry total ,44127.3
2012,TENNESSEE,"ROMNEY, MITT",REPUBLICAN,1462330,2458577,All industry total ,285897.5
2012,TEXAS,"ROMNEY, MITT",REPUBLICAN,4569843,7993851,All industry total ,1429588.0
2012,UTAH,"ROMNEY, MITT",REPUBLICAN,740600,1017440,All industry total ,129431.4
2012,VERMONT,"OBAMA, BARACK H.",DEMOCRAT,199239,299290,All industry total ,29325.6
2012,VIRGINIA,"OBAMA, BARACK H.",DEMOCRAT,1971820,3854489,All industry total ,445008.5
2012,WASHINGTON,"OBAMA, BARACK H.",DEMOCRAT,1755396,3125516,All industry total ,398358.5
2012,WEST VIRGINIA,"ROMNEY, MITT",REPUBLICAN,417655,670438,All industry total ,70303.1
2012,WISCONSIN,"OBAMA, BARACK H.",DEMOCRAT,1620985,3071434,All industry total ,276253.4
2012,WYOMING,"ROMNEY, MITT",REPUBLICAN,170962,250701,All industry total ,38679.3
2016,ALABAMA,"TRUMP, DONALD J.",REPUBLICAN,1318255,2123372,All industry total ,208824.3
2016,ALASKA,"TRUMP, DONALD J.",REPUBLICAN,163387,318608,All industry total ,51121.8
2016,ARIZONA,"TRUMP, DONALD J.",REPUBLICAN,1252401,2573165,All industry total ,313787.1
2016,ARKANSAS,"TRUMP, DONALD J.",REPUBLICAN,684872,1130635,All industry total ,120987.4
2016,CALIFORNIA,"CLINTON, HILLARY",DEMOCRAT,8753788,14181595,All industry total ,2586485.2
2016,COLORADO,"CLINTON, HILLARY",DEMOCRAT,1338870,2780220,All industry total ,330565.9
2016,CONNECTICUT,"CLINTON, HILLARY",DEMOCRAT,897572,1644920,All industry total ,264760.4
2016,DELAWARE,"CLINTON, HILLARY",DEMOCRAT,235603,441590,All industry total ,70021.5
2016,DISTRICT OF COLUMBIA,"CLINTON, HILLARY",DEMOCRAT,282830,312575,All industry total ,129933.5
2016,FLORIDA,"TRUMP, DONALD J.",REPUBLICAN,4617886,9420039,All industry total ,964500.8
2016,GEORGIA,"TRUMP, DONALD J.",REPUBLICAN,2089104,4114732,All industry total ,554903.2
2016,HAWAII,"CLINTON, HILLARY",DEMOCRAT,266891,437664,All industry total ,84287.2
